GENESIS-Tabelle: 23211-0002
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht;;;;
Todesursachenstatistik;;;;
Deutschland;;;;
Gestorbene (Anzahl);;;;
;;Geschlecht;Geschlecht;Geschlecht
2000;Zerebrovaskuläre Krankheiten;29179;51607;80786
2000;Schlaganfall, nicht als Blutung oder Infarkt bez.;14772;28263;43035
2000;Krankheiten der Arterien, Arteriolen und Kapillare;9151;13997;23148
2000;Krankheiten des Atmungssystems;27115;24691;51806
2000;Grippe;86;181;267
2000;Pneumonie;8016;10474;18490
2000;Chronische Krankheiten der unteren Atemwege;15402;10396;25798
2000;Asthma;1726;1749;3475
2000;COVID-19, Virus nachgewiesen;-;-;-
2000;COVID-19, Virus nicht nachgewiesen;-;-;-
2000;Krankheiten des Verdauungssystems;21008;19704;40712
2000;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1399;1879;3278
2000;Krankheiten der Leber;12231;6197;18428
2000;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11644;5703;17347
2000;Krankheiten der Haut und der Unterhaut;97;337;434
2000;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;546;1286;1832
2000;Chronische Polyarthritis und Arthrose;126;466;592
2000;Krankheiten des Urogenitalsystems;4599;6120;10719
2000;Krankheiten der Niere;3729;4872;8601
2000;Schwangerschaft, Geburt und Wochenbett;-;43;43
2000;Best.Zustände mit Ursprung in der Perinatalperiode;829;645;1474
2000;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;845;798;1643
2000;Angeborene Fehlbildungen des Nervensystems;77;81;158
2000;Angeborene Fehlbildungen des Kreislaufsystems;345;328;673
2000;Symptome und abnorme klinische und Laborbefunde;11349;12440;23789
2000;Plötzlicher Kindstod;291;191;482
2000;Sonst. ungenau bezeichnete u. unbek. Todesursachen;9367;7053;16420
2000;Äußere Ursachen von Morbidität und Mortalität;21720;12803;34523
2000;Unfälle einschließlich Spätfolgen;11783;8545;20328
2000;Transportmittelunfälle;5622;2125;7747
2000;Stürze;3133;4271;7404
2000;Ertrinken und Untergehen;351;156;507
2000;Exposition gegenüber Rauch, Feuer und Flammen;256;219;475
2000;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);442;148;590
2000;Vorsätzliche Selbstbeschädigung;8131;2934;11065
2000;Tätlicher Angriff;321;281;602
2000;Ereignis, dessen nähere Umstände unbestimmt sind;1426;1027;2453
2000;Insgesamt;388981;449816;838797
2001;Bestimmte infektiöse und parasitäre Krankheiten;5074;5301;10375
2001;Tuberkulose einschließlich ihrer Folgezustände;326;210;536
2001;Meningokokkeninfektion;32;37;69
2001;Virushepatitis;587;583;1170
2001;HIV-Krankheit;413;130;543
2001;Neubildungen;110657;102401;213058
2001;Bösartige Neubildungen (BN);108373;99246;207619
2001;BN der Lippe, der Mundhöhle und des Pharynx;3795;1058;4853
2001;BN des Ösophagus;3331;965;4296
2001;BN des Magens;6551;5900;12451
2001;BN des Dickdarms;9115;10835;19950
2001;BN des Rektums, des Anus und am Rektosigmoid;4305;4112;8417
2001;BN der Leber, der Gallenwege und des Pankreas;10628;11397;22025
2001;BN der Leber und der intrahepatischen Gallengänge;3485;1961;5446
2001;BN des Pankreas;5861;6577;12438
2001;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;29884;10169;40053
2001;BN der Bronchien und der Lunge;28529;9996;38525
2001;Melanom und sonstige bösartige Neubild. der Haut;1395;1252;2647
2001;Bösartiges Melanom der Haut;1171;1046;2217
2001;BN der Brustdrüse;233;17504;17737
2001;BN der Genital- und Harnorgane;19107;15900;35007
2001;BN der Cervix uteri;-;1821;1821
2001;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2641;2641
2001;BN des Ovars;-;5821;5821
2001;BN der Prostata;11150;-;11150
2001;BN der Niere, ausgenommen Nierenbecken;3078;2122;5200
2001;BN der Harnblase;3641;1941;5582
2001;BN d. lymphat., blutbild. u. verwandten Gewebes;8074;7977;16051
2001;Leukämie;3485;3208;6693
2001;Gutartige Neubildungen;164;252;416
2001;Krankheiten des Blutes u. der blutbildenden Organe;734;1167;1901
2001;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;8949;15414;24363
2001;Diabetes mellitus;7978;13900;21878
2001;Psychische und Verhaltensstörungen;4976;2850;7826
2001;Psychische und Verhaltensstörungen durch Alkohol;3675;958;4633
2001;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;610;134;744
2001;Krankheiten d. Nervensystems u. d. Sinnesorgane;7615;9032;16647
2001;Meningitis;86;98;184
2001;Krankheiten des Kreislaufsystems;160315;231412;391727
2001;Hypertonie (Hochdruckkrankheit);6334;14471;20805
2001;Ischämische Herzkrankheiten;77872;87197;165069
2001;Akuter oder rezidivierender Myokardinfarkt;39244;31781;71025
2001;Sonstige Formen der Herzkrankheit;30064;52601;82665
2001;Sonstige Krankheiten des Endokards;2228;3926;6154
2001;Zerebrovaskuläre Krankheiten;28650;50041;78691
2001;Schlaganfall, nicht als Blutung oder Infarkt bez.;14163;26508;40671
2001;Krankheiten der Arterien, Arteriolen und Kapillare;9004;13672;22676
2001;Krankheiten des Atmungssystems;25432;23103;48535
2001;Grippe;31;41;72
2001;Pneumonie;7683;9857;17540
2001;Chronische Krankheiten der unteren Atemwege;14081;9712;23793
2001;Asthma;1404;1482;2886
2001;COVID-19, Virus nachgewiesen;-;-;-
2001;COVID-19, Virus nicht nachgewiesen;-;-;-
2001;Krankheiten des Verdauungssystems;20736;20182;40918
2001;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1390;1922;3312
2001;Krankheiten der Leber;11906;6234;18140
2001;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11340;5719;17059
2001;Krankheiten der Haut und der Unterhaut;94;312;406
2001;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;577;1331;1908
2001;Chronische Polyarthritis und Arthrose;137;482;619
2001;Krankheiten des Urogenitalsystems;4692;6529;11221
2001;Krankheiten der Niere;3759;5149;8908
2001;Schwangerschaft, Geburt und Wochenbett;-;27;27
2001;Best.Zustände mit Ursprung in der Perinatalperiode;856;628;1484
2001;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;861;751;1612
2001;Angeborene Fehlbildungen des Nervensystems;74;72;146
2001;Angeborene Fehlbildungen des Kreislaufsystems;334;282;616
2001;Symptome und abnorme klinische und Laborbefunde;10800;11532;22332
2001;Plötzlicher Kindstod;272;157;429
2001;Sonst. ungenau bezeichnete u. unbek. Todesursachen;9035;6847;15882
2001;Äußere Ursachen von Morbidität und Mortalität;21519;12682;34201
2001;Unfälle einschließlich Spätfolgen;11588;8426;20014
2001;Transportmittelunfälle;5198;1983;7181
2001;Stürze;3059;4040;7099
2001;Ertrinken und Untergehen;320;135;455
2001;Exposition gegenüber Rauch, Feuer und Flammen;274;204;478
2001;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);764;276;1040
2001;Vorsätzliche Selbstbeschädigung;8188;2968;11156
2001;Tätlicher Angriff;325;239;564
2001;Ereignis, dessen nähere Umstände unbestimmt sind;1362;1027;2389
2001;Insgesamt;383887;444654;828541
2002;Bestimmte infektiöse und parasitäre Krankheiten;5041;5425;10466
2002;Tuberkulose einschließlich ihrer Folgezustände;327;180;507
2002;Meningokokkeninfektion;37;41;78
2002;Virushepatitis;628;599;1227
2002;HIV-Krankheit;400;118;518
2002;Neubildungen;112245;103196;215441
2002;Bösartige Neubildungen (BN);109869;100174;210043
2002;BN der Lippe, der Mundhöhle und des Pharynx;3713;986;4699
2002;BN des Ösophagus;3476;1047;4523
2002;BN des Magens;6612;5776;12388
2002;BN des Dickdarms;9410;10953;20363
2002;BN des Rektums, des Anus und am Rektosigmoid;4604;3901;8505
2002;BN der Leber, der Gallenwege und des Pankreas;11103;11642;22745
2002;BN der Leber und der intrahepatischen Gallengänge;3604;2101;5705
2002;BN des Pankreas;6103;6716;12819
2002;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30124;10591;40715
2002;BN der Bronchien und der Lunge;28724;10381;39105
2002;Melanom und sonstige bösartige Neubild. der Haut;1375;1302;2677
2002;Bösartiges Melanom der Haut;1137;1073;2210
2002;BN der Brustdrüse;230;17780;18010
2002;BN der Genital- und Harnorgane;19013;15992;35005
2002;BN der Cervix uteri;-;1763;1763
2002;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2678;2678
2002;BN des Ovars;-;5910;5910
2002;BN der Prostata;11422;-;11422
2002;BN der Niere, ausgenommen Nierenbecken;2912;2094;5006
2002;BN der Harnblase;3432;2019;5451
2002;BN d. lymphat., blutbild. u. verwandten Gewebes;8178;8152;16330
2002;Leukämie;3508;3369;6877
2002;Gutartige Neubildungen;163;227;390
2002;Krankheiten des Blutes u. der blutbildenden Organe;720;1152;1872
2002;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;9694;16661;26355
2002;Diabetes mellitus;8629;14978;23607
2002;Psychische und Verhaltensstörungen;5106;2816;7922
2002;Psychische und Verhaltensstörungen durch Alkohol;3788;990;4778
2002;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;548;115;663
2002;Krankheiten d. Nervensystems u. d. Sinnesorgane;8023;9733;17756
2002;Meningitis;81;105;186
2002;Krankheiten des Kreislaufsystems;160629;233149;393778
2002;Hypertonie (Hochdruckkrankheit);6992;16269;23261
2002;Ischämische Herzkrankheiten;77395;87406;164801
2002;Akuter oder rezidivierender Myokardinfarkt;38110;31164;69274
2002;Sonstige Formen der Herzkrankheit;30763;53731;84494
2002;Sonstige Krankheiten des Endokards;2336;3988;6324
2002;Zerebrovaskuläre Krankheiten;28331;49188;77519
2002;Schlaganfall, nicht als Blutung oder Infarkt bez.;13687;25746;39433
2002;Krankheiten der Arterien, Arteriolen und Kapillare;8921;13615;22536
2002;Krankheiten des Atmungssystems;27562;26084;53646
2002;Grippe;32;70;102
2002;Pneumonie;8223;10980;19203
2002;Chronische Krankheiten der unteren Atemwege;14990;10519;25509
2002;Asthma;1318;1383;2701
2002;COVID-19, Virus nachgewiesen;-;-;-
2002;COVID-19, Virus nicht nachgewiesen;-;-;-
2002;Krankheiten des Verdauungssystems;21177;20672;41849
2002;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1476;2005;3481
2002;Krankheiten der Leber;12180;6161;18341
2002;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11634;5677;17311
2002;Krankheiten der Haut und der Unterhaut;125;328;453
2002;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;588;1338;1926
2002;Chronische Polyarthritis und Arthrose;114;443;557
2002;Krankheiten des Urogenitalsystems;5148;7112;12260
2002;Krankheiten der Niere;4084;5491;9575
2002;Schwangerschaft, Geburt und Wochenbett;-;21;21
2002;Best.Zustände mit Ursprung in der Perinatalperiode;866;647;1513
2002;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;795;777;1572
2002;Angeborene Fehlbildungen des Nervensystems;80;70;150
2002;Angeborene Fehlbildungen des Kreislaufsystems;318;307;625
2002;Symptome und abnorme klinische und Laborbefunde;9960;10600;20560
2002;Plötzlicher Kindstod;215;152;367
2002;Sonst. ungenau bezeichnete u. unbek. Todesursachen;8409;6021;14430
2002;Äußere Ursachen von Morbidität und Mortalität;21437;12859;34296
2002;Unfälle einschließlich Spätfolgen;11412;8417;19829
2002;Transportmittelunfälle;5118;1971;7089
2002;Stürze;3058;4102;7160
2002;Ertrinken und Untergehen;360;109;469
2002;Exposition gegenüber Rauch, Feuer und Flammen;317;233;550
2002;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);598;216;814
2002;Vorsätzliche Selbstbeschädigung;8106;3057;11163
2002;Tätlicher Angriff;326;278;604
2002;Ereignis, dessen nähere Umstände unbestimmt sind;1536;1092;2628
2002;Insgesamt;389116;452570;841686
2003;Bestimmte infektiöse und parasitäre Krankheiten;5146;5745;10891
2003;Tuberkulose einschließlich ihrer Folgezustände;320;192;512
2003;Meningokokkeninfektion;38;31;69
2003;Virushepatitis;619;624;1243
2003;HIV-Krankheit;393;114;507
2003;Neubildungen;113157;101631;214788
2003;Bösartige Neubildungen (BN);110703;98552;209255
2003;BN der Lippe, der Mundhöhle und des Pharynx;3736;1050;4786
2003;BN des Ösophagus;3489;995;4484
2003;BN des Magens;6299;5545;11844
2003;BN des Dickdarms;9307;10618;19925
2003;BN des Rektums, des Anus und am Rektosigmoid;4684;3980;8664
2003;BN der Leber, der Gallenwege und des Pankreas;11177;11395;22572
2003;BN der Leber und der intrahepatischen Gallengänge;3819;2197;6016
2003;BN des Pankreas;6047;6639;12686
2003;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30032;10833;40865
2003;BN der Bronchien und der Lunge;28652;10634;39286
2003;Melanom und sonstige bösartige Neubild. der Haut;1542;1258;2800
2003;Bösartiges Melanom der Haut;1286;1009;2295
2003;BN der Brustdrüse;264;17173;17437
2003;BN der Genital- und Harnorgane;19671;15724;35395
2003;BN der Cervix uteri;-;1762;1762
2003;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2536;2536
2003;BN des Ovars;-;5754;5754
2003;BN der Prostata;11510;-;11510
2003;BN der Niere, ausgenommen Nierenbecken;3037;2104;5141
2003;BN der Harnblase;3746;1906;5652
2003;BN d. lymphat., blutbild. u. verwandten Gewebes;8195;8096;16291
2003;Leukämie;3510;3349;6859
2003;Gutartige Neubildungen;154;264;418
2003;Krankheiten des Blutes u. der blutbildenden Organe;784;1245;2029
2003;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;10110;17081;27191
2003;Diabetes mellitus;8895;15046;23941
2003;Psychische und Verhaltensstörungen;5305;3230;8535
2003;Psychische und Verhaltensstörungen durch Alkohol;3897;1035;4932
2003;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;551;151;702
2003;Krankheiten d. Nervensystems u. d. Sinnesorgane;8463;10007;18470
2003;Meningitis;106;99;205
2003;Krankheiten des Kreislaufsystems;162210;234412;396622
2003;Hypertonie (Hochdruckkrankheit);7551;17361;24912
2003;Ischämische Herzkrankheiten;77123;86322;163445
2003;Akuter oder rezidivierender Myokardinfarkt;37956;31406;69362
2003;Sonstige Formen der Herzkrankheit;32315;55327;87642
2003;Sonstige Krankheiten des Endokards;2519;4347;6866
2003;Zerebrovaskuläre Krankheiten;27386;47728;75114
2003;Schlaganfall, nicht als Blutung oder Infarkt bez.;13017;24562;37579
2003;Krankheiten der Arterien, Arteriolen und Kapillare;9217;14099;23316
2003;Krankheiten des Atmungssystems;29623;28391;58014
2003;Grippe;99;201;300
2003;Pneumonie;9136;12386;21522
2003;Chronische Krankheiten der unteren Atemwege;16025;11216;27241
2003;Asthma;1188;1234;2422
2003;COVID-19, Virus nachgewiesen;-;-;-
2003;COVID-19, Virus nicht nachgewiesen;-;-;-
2003;Krankheiten des Verdauungssystems;21369;20894;42263
2003;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1406;2043;3449
2003;Krankheiten der Leber;12098;6017;18115
2003;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;11605;5546;17151
2003;Krankheiten der Haut und der Unterhaut;153;368;521
2003;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;661;1360;2021
2003;Chronische Polyarthritis und Arthrose;143;436;579
2003;Krankheiten des Urogenitalsystems;5512;7669;13181
2003;Krankheiten der Niere;4268;5743;10011
2003;Schwangerschaft, Geburt und Wochenbett;-;30;30
2003;Best.Zustände mit Ursprung in der Perinatalperiode;809;615;1424
2003;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;882;739;1621
2003;Angeborene Fehlbildungen des Nervensystems;70;69;139
2003;Angeborene Fehlbildungen des Kreislaufsystems;331;289;620
2003;Symptome und abnorme klinische und Laborbefunde;10438;11301;21739
2003;Plötzlicher Kindstod;215;157;372
2003;Sonst. ungenau bezeichnete u. unbek. Todesursachen;8755;6400;15155
2003;Äußere Ursachen von Morbidität und Mortalität;21648;12958;34606
2003;Unfälle einschließlich Spätfolgen;11757;8664;20421
2003;Transportmittelunfälle;5026;1816;6842
2003;Stürze;3486;4391;7877
2003;Ertrinken und Untergehen;380;134;514
2003;Exposition gegenüber Rauch, Feuer und Flammen;290;185;475
2003;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);513;209;722
2003;Vorsätzliche Selbstbeschädigung;8179;2971;11150
2003;Tätlicher Angriff;307;246;553
2003;Ereignis, dessen nähere Umstände unbestimmt sind;1364;1063;2427
2003;Insgesamt;396270;457676;853946
2004;Bestimmte infektiöse und parasitäre Krankheiten;5217;5845;11062
2004;Tuberkulose einschließlich ihrer Folgezustände;291;150;441
2004;Meningokokkeninfektion;31;32;63
2004;Virushepatitis;559;597;1156
2004;HIV-Krankheit;404;103;507
2004;Neubildungen;113361;101502;214863
2004;Bösartige Neubildungen (BN);111012;98316;209328
2004;BN der Lippe, der Mundhöhle und des Pharynx;3450;994;4444
2004;BN des Ösophagus;3476;1071;4547
2004;BN des Magens;6276;5197;11473
2004;BN des Dickdarms;9154;10266;19420
2004;BN des Rektums, des Anus und am Rektosigmoid;4594;3768;8362
2004;BN der Leber, der Gallenwege und des Pankreas;11725;11383;23108
2004;BN der Leber und der intrahepatischen Gallengänge;3923;2202;6125
2004;BN des Pankreas;6412;6596;13008
2004;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30147;11195;41342
2004;BN der Bronchien und der Lunge;28786;11012;39798
2004;Melanom und sonstige bösartige Neubild. der Haut;1523;1274;2797
2004;Bösartiges Melanom der Haut;1256;1037;2293
2004;BN der Brustdrüse;176;17592;17768
2004;BN der Genital- und Harnorgane;19214;15365;34579
2004;BN der Cervix uteri;-;1660;1660
2004;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2553;2553
2004;BN des Ovars;-;5479;5479
2004;BN der Prostata;11135;-;11135
2004;BN der Niere, ausgenommen Nierenbecken;3038;2049;5087
2004;BN der Harnblase;3565;1987;5552
2004;BN d. lymphat., blutbild. u. verwandten Gewebes;8482;8132;16614
2004;Leukämie;3738;3327;7065
2004;Gutartige Neubildungen;139;258;397
2004;Krankheiten des Blutes u. der blutbildenden Organe;824;1230;2054
2004;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;10397;16644;27041
2004;Diabetes mellitus;9103;14550;23653
2004;Psychische und Verhaltensstörungen;5428;4088;9516
2004;Psychische und Verhaltensstörungen durch Alkohol;3733;1013;4746
2004;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;506;126;632
2004;Krankheiten d. Nervensystems u. d. Sinnesorgane;8317;9372;17689
2004;Meningitis;87;92;179
2004;Krankheiten des Kreislaufsystems;152468;216004;368472
2004;Hypertonie (Hochdruckkrankheit);7997;17794;25791
2004;Ischämische Herzkrankheiten;73296;79363;152659
2004;Akuter oder rezidivierender Myokardinfarkt;36803;30346;67149
2004;Sonstige Formen der Herzkrankheit;28030;48809;76839
2004;Sonstige Krankheiten des Endokards;2882;4677;7559
2004;Zerebrovaskuläre Krankheiten;25170;43328;68498
2004;Schlaganfall, nicht als Blutung oder Infarkt bez.;11154;21087;32241
2004;Krankheiten der Arterien, Arteriolen und Kapillare;9100;12997;22097
2004;Krankheiten des Atmungssystems;27214;25286;52500
2004;Grippe;52;73;125
2004;Pneumonie;8291;10678;18969
2004;Chronische Krankheiten der unteren Atemwege;14460;10088;24548
2004;Asthma;1033;1108;2141
2004;COVID-19, Virus nachgewiesen;-;-;-
2004;COVID-19, Virus nicht nachgewiesen;-;-;-
2004;Krankheiten des Verdauungssystems;21304;20909;42213
2004;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1506;2129;3635
2004;Krankheiten der Leber;11452;5670;17122
2004;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;10960;5161;16121
2004;Krankheiten der Haut und der Unterhaut;170;417;587
2004;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;647;1334;1981
2004;Chronische Polyarthritis und Arthrose;102;361;463
2004;Krankheiten des Urogenitalsystems;5588;7658;13246
2004;Krankheiten der Niere;4474;5897;10371
2004;Schwangerschaft, Geburt und Wochenbett;-;37;37
2004;Best.Zustände mit Ursprung in der Perinatalperiode;791;652;1443
2004;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;855;721;1576
2004;Angeborene Fehlbildungen des Nervensystems;94;70;164
2004;Angeborene Fehlbildungen des Kreislaufsystems;285;257;542
2004;Symptome und abnorme klinische und Laborbefunde;10049;10633;20682
2004;Plötzlicher Kindstod;200;123;323
2004;Sonst. ungenau bezeichnete u. unbek. Todesursachen;8423;5893;14316
2004;Äußere Ursachen von Morbidität und Mortalität;20758;12551;33309
2004;Unfälle einschließlich Spätfolgen;10956;8502;19458
2004;Transportmittelunfälle;4438;1649;6087
2004;Stürze;3433;4480;7913
2004;Ertrinken und Untergehen;288;113;401
2004;Exposition gegenüber Rauch, Feuer und Flammen;264;182;446
2004;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);493;187;680
2004;Vorsätzliche Selbstbeschädigung;7939;2794;10733
2004;Tätlicher Angriff;280;246;526
2004;Ereignis, dessen nähere Umstände unbestimmt sind;1525;986;2511
2004;Insgesamt;383388;434883;818271
2005;Bestimmte infektiöse und parasitäre Krankheiten;5754;6307;12061
2005;Tuberkulose einschließlich ihrer Folgezustände;261;189;450
2005;Meningokokkeninfektion;38;16;54
2005;Virushepatitis;544;520;1064
2005;HIV-Krankheit;398;93;491
2005;Neubildungen;114542;102386;216928
2005;Bösartige Neubildungen (BN);112066;99330;211396
2005;BN der Lippe, der Mundhöhle und des Pharynx;3703;1116;4819
2005;BN des Ösophagus;3661;1129;4790
2005;BN des Magens;6211;5089;11300
2005;BN des Dickdarms;8982;9988;18970
2005;BN des Rektums, des Anus und am Rektosigmoid;4714;3855;8569
2005;BN der Leber, der Gallenwege und des Pankreas;11785;11657;23442
2005;BN der Leber und der intrahepatischen Gallengänge;3917;2225;6142
2005;BN des Pankreas;6544;7031;13575
2005;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30347;11870;42217
2005;BN der Bronchien und der Lunge;28959;11682;40641
2005;Melanom und sonstige bösartige Neubild. der Haut;1535;1345;2880
2005;Bösartiges Melanom der Haut;1238;1089;2327
2005;BN der Brustdrüse;245;17455;17700
2005;BN der Genital- und Harnorgane;19397;15403;34800
2005;BN der Cervix uteri;-;1626;1626
2005;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2448;2448
2005;BN des Ovars;-;5571;5571
2005;BN der Prostata;11203;-;11203
2005;BN der Niere, ausgenommen Nierenbecken;3050;2086;5136
2005;BN der Harnblase;3594;1991;5585
2005;BN d. lymphat., blutbild. u. verwandten Gewebes;8526;8143;16669
2005;Leukämie;3743;3450;7193
2005;Gutartige Neubildungen;148;241;389
2005;Krankheiten des Blutes u. der blutbildenden Organe;823;1300;2123
2005;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;11010;17261;28271
2005;Diabetes mellitus;9419;14923;24342
2005;Psychische und Verhaltensstörungen;6179;5177;11356
2005;Psychische und Verhaltensstörungen durch Alkohol;3869;1064;4933
2005;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;608;147;755
2005;Krankheiten d. Nervensystems u. d. Sinnesorgane;8598;9967;18565
2005;Meningitis;103;99;202
2005;Krankheiten des Kreislaufsystems;152274;215087;367361
2005;Hypertonie (Hochdruckkrankheit);8249;19284;27533
2005;Ischämische Herzkrankheiten;72003;76638;148641
2005;Akuter oder rezidivierender Myokardinfarkt;36283;29896;66179
2005;Sonstige Formen der Herzkrankheit;28988;49119;78107
2005;Sonstige Krankheiten des Endokards;3084;5311;8395
2005;Zerebrovaskuläre Krankheiten;24786;42331;67117
2005;Schlaganfall, nicht als Blutung oder Infarkt bez.;10276;19816;30092
2005;Krankheiten der Arterien, Arteriolen und Kapillare;9085;13092;22177
2005;Krankheiten des Atmungssystems;29332;28410;57742
2005;Grippe;103;198;301
2005;Pneumonie;9476;12223;21699
2005;Chronische Krankheiten der unteren Atemwege;14769;10974;25743
2005;Asthma;861;1110;1971
2005;COVID-19, Virus nachgewiesen;-;-;-
2005;COVID-19, Virus nicht nachgewiesen;-;-;-
2005;Krankheiten des Verdauungssystems;21369;21418;42787
2005;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;1401;1970;3371
2005;Krankheiten der Leber;11206;5600;16806
2005;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;10704;5081;15785
2005;Krankheiten der Haut und der Unterhaut;183;424;607
2005;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;686;1338;2024
2005;Chronische Polyarthritis und Arthrose;119;392;511
2005;Krankheiten des Urogenitalsystems;5953;8335;14288
2005;Krankheiten der Niere;4719;6401;11120
2005;Schwangerschaft, Geburt und Wochenbett;-;28;28
2005;Best.Zustände mit Ursprung in der Perinatalperiode;766;575;1341
2005;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;812;716;1528
2005;Angeborene Fehlbildungen des Nervensystems;60;64;124
2005;Angeborene Fehlbildungen des Kreislaufsystems;291;215;506
2005;Symptome und abnorme klinische und Laborbefunde;9920;10273;20193
2005;Plötzlicher Kindstod;176;122;298
2005;Sonst. ungenau bezeichnete u. unbek. Todesursachen;8200;5660;13860
2005;Äußere Ursachen von Morbidität und Mortalität;20353;12671;33024
2005;Unfälle einschließlich Spätfolgen;11133;8860;19993
2005;Transportmittelunfälle;4111;1524;5635
2005;Stürze;3788;4760;8548
2005;Ertrinken und Untergehen;280;120;400
2005;Exposition gegenüber Rauch, Feuer und Flammen;279;205;484
2005;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);526;187;713
2005;Vorsätzliche Selbstbeschädigung;7523;2737;10260
2005;Tätlicher Angriff;247;206;453
2005;Ereignis, dessen nähere Umstände unbestimmt sind;1382;842;2224
2005;Insgesamt;388554;441673;830227
2006;Bestimmte infektiöse und parasitäre Krankheiten;5661;6693;12354
2006;Tuberkulose einschließlich ihrer Folgezustände;276;157;433
2006;Meningokokkeninfektion;30;26;56
2006;Virushepatitis;542;516;1058
2006;HIV-Krankheit;420;84;504
2006;Neubildungen;115176;101919;217095
2006;Bösartige Neubildungen (BN);112761;98762;211523
2006;BN der Lippe, der Mundhöhle und des Pharynx;3623;1111;4734
2006;BN des Ösophagus;3642;1074;4716
2006;BN des Magens;5986;4937;10923
2006;BN des Dickdarms;8912;9563;18475
2006;BN des Rektums, des Anus und am Rektosigmoid;4595;3730;8325
2006;BN der Leber, der Gallenwege und des Pankreas;12294;11864;24158
2006;BN der Leber und der intrahepatischen Gallengänge;4329;2351;6680
2006;BN des Pankreas;6729;7213;13942
2006;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;30249;12099;42348
2006;BN der Bronchien und der Lunge;28878;11866;40744
2006;Melanom und sonstige bösartige Neubild. der Haut;1589;1291;2880
2006;Bösartiges Melanom der Haut;1266;1021;2287
2006;BN der Brustdrüse;267;17286;17553
2006;BN der Genital- und Harnorgane;19554;15228;34782
2006;BN der Cervix uteri;-;1492;1492
2006;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;-;2395;2395
2006;BN des Ovars;-;5636;5636
2006;BN der Prostata;11577;-;11577
2006;BN der Niere, ausgenommen Nierenbecken;2841;2018;4859
2006;BN der Harnblase;3549;1893;5442
2006;BN d. lymphat., blutbild. u. verwandten Gewebes;8496;8084;16580
2006;Leukämie;3720;3387;7107
2006;Gutartige Neubildungen;167;261;428
2006;Krankheiten des Blutes u. der blutbildenden Organe;828;1216;2044
2006;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;10568;16056;26624
